axis	line	position	negative_shape	positive_shape	negative_depth	positive_depth	tab_depths	mean_depth	negative_true_tab_bit
vertical	0	0	hole	tab	2	38	38	38.00	0
vertical	0	1	hole	tab	1	43	43	43.00	0
vertical	0	2	tab	hole	40	1	40	40.00	1
vertical	0	3	tab	tab	34	3	34,3	18.50	1
vertical	0	4	hole	tab	3	43	43	43.00	0
vertical	0	5	hole	tab	2	41	41	41.00	0
vertical	0	6	tab	hole	38	1	38	38.00	1
vertical	0	7	hole	tab	3	42	42	42.00	0
vertical	1	0	tab	tab	5	44	5,44	24.50	0
vertical	1	1	hole	tab	1	40	40	40.00	0
vertical	1	2	tab	tab	3	36	3,36	19.50	0
vertical	1	3	tab	hole	43	3	43	43.00	1
vertical	1	4	tab	tab	4	34	4,34	19.00	0
vertical	1	5	hole	tab	3	42	42	42.00	0
vertical	1	6	hole	tab	2	42	42	42.00	0
vertical	1	7	tab	hole	50	2	50	50.00	1
vertical	2	0	tab	tab	3	40	3,40	21.50	0
vertical	2	1	tab	tab	5	47	5,47	26.00	0
vertical	2	2	tab	hole	34	2	34	34.00	1
vertical	2	3	hole	tab	2	40	40	40.00	0
vertical	2	4	hole	tab	2	49	49	49.00	0
vertical	2	5	tab	tab	38	4	38,4	21.00	1
vertical	2	6	hole	tab	2	33	33	33.00	0
vertical	2	7	tab	tab	4	38	4,38	21.00	0
vertical	3	0	hole	tab	1	48	48	48.00	0
vertical	3	1	tab	tab	44	4	44,4	24.00	1
vertical	3	2	hole	tab	0	40	40	40.00	0
vertical	3	3	tab	hole	34	2	34	34.00	1
vertical	3	4	tab	hole	47		47	47.00	1
vertical	3	5	tab	tab	3	35	3,35	19.00	0
vertical	3	6	tab	tab	4	40	4,40	22.00	0
vertical	3	7	tab	hole	41	0	41	41.00	1
vertical	4	0	hole	tab	2				0
vertical	4	1	hole	tab	2	43	43	43.00	0
vertical	4	2	tab	tab	4	44	4,44	24.00	0
vertical	4	3	tab	tab	42	4	42,4	23.00	1
vertical	4	4	tab	hole		1			1
vertical	4	5	tab	tab	4	43	4,43	23.50	0
vertical	4	6	hole	tab	1	47	47	47.00	0
vertical	4	7	tab	tab	4	44	4,44	24.00	0
vertical	5	0	hole	tab		52	52	52.00	0
vertical	5	1	tab	hole	51	3	51	51.00	1
vertical	5	2	hole	tab	2	44	44	44.00	0
vertical	5	3	hole	tab	1	39	39	39.00	0
vertical	5	4	hole	tab	1	42	42	42.00	0
vertical	5	5	tab	tab	39	4	39,4	21.50	1
vertical	5	6	hole	tab	1				0
vertical	5	7	tab	tab	47	4	47,4	25.50	1
vertical	6	0	tab	hole	43	3	43	43.00	1
vertical	6	1	tab	tab	3	37	3,37	20.00	0
vertical	6	2	hole	tab	1	35	35	35.00	0
vertical	6	3	tab	hole	37	0	37	37.00	1
vertical	6	4	tab	hole	43	1	43	43.00	1
vertical	6	5	tab	tab	4	34	4,34	19.00	0
vertical	6	6	hole	tab		48	48	48.00	0
vertical	6	7	hole	tab	2	35	35	35.00	0
horizontal	0	0	tab	hole	45	3	45	45.00	1
horizontal	0	1	hole	tab	1	41	41	41.00	0
horizontal	0	2	tab	tab	43	4	43,4	23.50	1
horizontal	0	3	tab	tab	4	45	4,45	24.50	0
horizontal	0	4	tab	hole	38	2	38	38.00	1
horizontal	0	5	tab	hole		2			1
horizontal	0	6	tab	hole	38	0	38	38.00	1
horizontal	0	7	tab	hole	34	1	34	34.00	1
horizontal	1	0	tab	hole	38	0	38	38.00	1
horizontal	1	1	tab	hole	37	2	37	37.00	1
horizontal	1	2	hole	tab	1	44	44	44.00	0
horizontal	1	3	hole	tab	2	44	44	44.00	0
horizontal	1	4	tab	hole	38	3	38	38.00	1
horizontal	1	5	tab	tab	32	4	32,4	18.00	1
horizontal	1	6	tab	hole	37	2	37	37.00	1
horizontal	1	7	tab	tab	4	45	4,45	24.50	0
horizontal	2	0	tab	tab	48	4	48,4	26.00	1
horizontal	2	1	hole	tab	1	47	47	47.00	0
horizontal	2	2	tab	hole	44	1	44	44.00	1
horizontal	2	3	tab	tab	4	43	4,43	23.50	0
horizontal	2	4	tab	tab	40	4	40,4	22.00	1
horizontal	2	5	tab	hole	37	2	37	37.00	1
horizontal	2	6	tab	tab	4	44	4,44	24.00	0
horizontal	2	7	tab	tab	35	3	35,3	19.00	1
horizontal	3	0	tab	tab	39	4	39,4	21.50	1
horizontal	3	1	hole	tab	2	42	42	42.00	0
horizontal	3	2	hole	tab	3	44	44	44.00	0
horizontal	3	3	tab	hole	40	1	40	40.00	1
horizontal	3	4	tab	hole	40		40	40.00	1
horizontal	3	5	tab	hole	46	1	46	46.00	1
horizontal	3	6	tab	hole	38	2	38	38.00	1
horizontal	3	7	tab	tab	4	46	4,46	25.00	0
horizontal	4	0	tab	hole	41	1	41	41.00	1
horizontal	4	1	hole	tab	2	44	44	44.00	0
horizontal	4	2	tab	hole	40	1	40	40.00	1
horizontal	4	3	hole	tab	2	36	36	36.00	0
horizontal	4	4	tab	hole		2			1
horizontal	4	5	hole	tab	3	44	44	44.00	0
horizontal	4	6	tab	hole	39	1	39	39.00	1
horizontal	4	7	tab	hole	34	1	34	34.00	1
horizontal	5	0	tab	tab	48	4	48,4	26.00	1
horizontal	5	1	hole	tab	2	49	49	49.00	0
horizontal	5	2	hole	tab	1	40	40	40.00	0
horizontal	5	3	tab	tab	47	5	47,5	26.00	1
horizontal	5	4	tab	tab	42	4	42,4	23.00	1
horizontal	5	5	tab	tab	3	41	3,41	22.00	0
horizontal	5	6	tab	hole	36		36	36.00	1
horizontal	5	7	hole	tab	2	46	46	46.00	0
horizontal	6	0	tab	hole	45	1	45	45.00	1
horizontal	6	1	tab	tab	44	4	44,4	24.00	1
horizontal	6	2	hole	tab	2	52	52	52.00	0
horizontal	6	3	tab	hole	44	3	44	44.00	1
horizontal	6	4	tab	tab	37	4	37,4	20.50	1
horizontal	6	5	hole	tab	3	49	49	49.00	0
horizontal	6	6	tab	hole		2			1
horizontal	6	7	tab	hole	39	1	39	39.00	1
