table	label	row	column	text	color	borders	classes
table-1	Emoji 塔	1	1				
table-1	Emoji 塔	1	2				
table-1	Emoji 塔	1	3				
table-1	Emoji 塔	1	4				
table-1	Emoji 塔	1	5	🐈️			
table-1	Emoji 塔	1	6				
table-1	Emoji 塔	1	7				
table-1	Emoji 塔	1	8				
table-1	Emoji 塔	1	9				
table-1	Emoji 塔	2	1				
table-1	Emoji 塔	2	2				
table-1	Emoji 塔	2	3				
table-1	Emoji 塔	2	4				
table-1	Emoji 塔	2	5	🔥			
table-1	Emoji 塔	2	6	🚿			
table-1	Emoji 塔	2	7				
table-1	Emoji 塔	2	8				
table-1	Emoji 塔	2	9				
table-1	Emoji 塔	3	1				
table-1	Emoji 塔	3	2				
table-1	Emoji 塔	3	3				
table-1	Emoji 塔	3	4				
table-1	Emoji 塔	3	5	🦵			
table-1	Emoji 塔	3	6	🔡			
table-1	Emoji 塔	3	7				
table-1	Emoji 塔	3	8				
table-1	Emoji 塔	3	9				
table-1	Emoji 塔	4	1				
table-1	Emoji 塔	4	2				
table-1	Emoji 塔	4	3				
table-1	Emoji 塔	4	4				
table-1	Emoji 塔	4	5	👌			
table-1	Emoji 塔	4	6	🩸			
table-1	Emoji 塔	4	7				
table-1	Emoji 塔	4	8				
table-1	Emoji 塔	4	9				
table-1	Emoji 塔	5	1				
table-1	Emoji 塔	5	2				
table-1	Emoji 塔	5	3				
table-1	Emoji 塔	5	4				
table-1	Emoji 塔	5	5	👈️			
table-1	Emoji 塔	5	6	↪️			
table-1	Emoji 塔	5	7				
table-1	Emoji 塔	5	8				
table-1	Emoji 塔	5	9				
table-1	Emoji 塔	6	1				
table-1	Emoji 塔	6	2				
table-1	Emoji 塔	6	3				
table-1	Emoji 塔	6	4	🥰			
table-1	Emoji 塔	6	5	😢			
table-1	Emoji 塔	6	6	🚶‍➡️			
table-1	Emoji 塔	6	7				
table-1	Emoji 塔	6	8				
table-1	Emoji 塔	6	9				
table-1	Emoji 塔	7	1				
table-1	Emoji 塔	7	2				
table-1	Emoji 塔	7	3				
table-1	Emoji 塔	7	4	🤥			
table-1	Emoji 塔	7	5	🚶			
table-1	Emoji 塔	7	6	↪️			
table-1	Emoji 塔	7	7				
table-1	Emoji 塔	7	8				
table-1	Emoji 塔	7	9				
table-1	Emoji 塔	8	1				
table-1	Emoji 塔	8	2				
table-1	Emoji 塔	8	3				
table-1	Emoji 塔	8	4	🎯			
table-1	Emoji 塔	8	5	❓️			
table-1	Emoji 塔	8	6	↪️			
table-1	Emoji 塔	8	7				
table-1	Emoji 塔	8	8				
table-1	Emoji 塔	8	9				
table-1	Emoji 塔	9	1				
table-1	Emoji 塔	9	2				
table-1	Emoji 塔	9	3				
table-1	Emoji 塔	9	4	🔄			
table-1	Emoji 塔	9	5	🧎‍♀️‍➡️			
table-1	Emoji 塔	9	6	👉️			
table-1	Emoji 塔	9	7				
table-1	Emoji 塔	9	8				
table-1	Emoji 塔	9	9				
table-1	Emoji 塔	10	1				
table-1	Emoji 塔	10	2				
table-1	Emoji 塔	10	3				
table-1	Emoji 塔	10	4	💭			
table-1	Emoji 塔	10	5	👧			
table-1	Emoji 塔	10	6	🪑			
table-1	Emoji 塔	10	7				
table-1	Emoji 塔	10	8				
table-1	Emoji 塔	10	9				
table-1	Emoji 塔	11	1				
table-1	Emoji 塔	11	2				
table-1	Emoji 塔	11	3				
table-1	Emoji 塔	11	4	💦			
table-1	Emoji 塔	11	5	💭			
table-1	Emoji 塔	11	6	🙆‍♂️			
table-1	Emoji 塔	11	7				
table-1	Emoji 塔	11	8				
table-1	Emoji 塔	11	9				
table-1	Emoji 塔	12	1				
table-1	Emoji 塔	12	2				
table-1	Emoji 塔	12	3				
table-1	Emoji 塔	12	4	🔴			
table-1	Emoji 塔	12	5	➰️			
table-1	Emoji 塔	12	6	🙃			
table-1	Emoji 塔	12	7				
table-1	Emoji 塔	12	8				
table-1	Emoji 塔	12	9				
table-1	Emoji 塔	13	1				
table-1	Emoji 塔	13	2				
table-1	Emoji 塔	13	3				
table-1	Emoji 塔	13	4	✨️			
table-1	Emoji 塔	13	5	🚶			
table-1	Emoji 塔	13	6	🚫			
table-1	Emoji 塔	13	7				
table-1	Emoji 塔	13	8				
table-1	Emoji 塔	13	9				
table-1	Emoji 塔	14	1				
table-1	Emoji 塔	14	2				
table-1	Emoji 塔	14	3				
table-1	Emoji 塔	14	4	💬			
table-1	Emoji 塔	14	5	😣			
table-1	Emoji 塔	14	6	✌️			
table-1	Emoji 塔	14	7				
table-1	Emoji 塔	14	8				
table-1	Emoji 塔	14	9				
table-1	Emoji 塔	15	1				
table-1	Emoji 塔	15	2				
table-1	Emoji 塔	15	3				
table-1	Emoji 塔	15	4	🔁			
table-1	Emoji 塔	15	5	❓️			
table-1	Emoji 塔	15	6	🍰			
table-1	Emoji 塔	15	7	🌙			
table-1	Emoji 塔	15	8	💧			
table-1	Emoji 塔	15	9				
table-1	Emoji 塔	16	1				
table-1	Emoji 塔	16	2				
table-1	Emoji 塔	16	3				
table-1	Emoji 塔	16	4	🩸			
table-1	Emoji 塔	16	5	🦵			
table-1	Emoji 塔	16	6	⬇️			
table-1	Emoji 塔	16	7	💬			
table-1	Emoji 塔	16	8	🎨			
table-1	Emoji 塔	16	9				
table-1	Emoji 塔	17	1				
table-1	Emoji 塔	17	2				
table-1	Emoji 塔	17	3				
table-1	Emoji 塔	17	4	🫱			
table-1	Emoji 塔	17	5	🙂‍↕️			
table-1	Emoji 塔	17	6	❓️			
table-1	Emoji 塔	17	7	↩️			
table-1	Emoji 塔	17	8	🫥			
table-1	Emoji 塔	17	9	🦖			
table-1	Emoji 塔	18	1				
table-1	Emoji 塔	18	2				
table-1	Emoji 塔	18	3				
