group	slot	target_position	target_stable_id	source_member_index	source_stable_id	rotation	canonical_signature
1	0	0	piece-36	0	piece-36	0	-1,0,0,8
1	1	7	piece-04	2	piece-62	180	-1,0,0,8
1	2	56	piece-62	1	piece-04	180	-1,0,0,8
1	3	63	piece-26	3	piece-26	0	-1,0,0,8
2	0	1	piece-54	0	piece-54	0	-25,-8,0,-10
2	1	15	piece-63	2	piece-17	180	-25,-8,0,-10
2	2	48	piece-17	1	piece-63	180	-25,-8,0,-10
2	3	62	piece-30	3	piece-30	0	-25,-8,0,-10
3	0	2	piece-05	3	piece-33	180	0,11,9,10
3	1	23	piece-40	1	piece-40	0	0,11,9,10
3	2	40	piece-45	2	piece-45	0	0,11,9,10
3	3	61	piece-33	0	piece-05	180	0,11,9,10
4	0	3	piece-64	0	piece-64	0	-28,-11,0,-14
4	1	31	piece-56	2	piece-46	180	-28,-11,0,-14
4	2	32	piece-46	1	piece-56	180	-28,-11,0,-14
4	3	60	piece-39	3	piece-39	0	-28,-11,0,-14
5	0	4	piece-48	3	piece-21	180	0,12,13,14
5	1	24	piece-51	1	piece-51	0	0,12,13,14
5	2	39	piece-06	2	piece-06	0	0,12,13,14
5	3	59	piece-21	0	piece-48	180	0,12,13,14
6	0	5	piece-49	0	piece-49	0	-24,-12,0,-3
6	1	16	piece-44	2	piece-22	180	-24,-12,0,-3
6	2	47	piece-22	1	piece-44	180	-24,-12,0,-3
6	3	58	piece-47	3	piece-47	0	-24,-12,0,-3
7	0	6	piece-11	1	piece-34	90	0,1,2,3
7	1	8	piece-34	2	piece-01	180	0,1,2,3
7	2	55	piece-01	3	piece-02	270	0,1,2,3
7	3	57	piece-02	0	piece-11	180	0,1,2,3
8	0	9	piece-42	1	piece-61	270	-23,-2,25,-16
8	1	14	piece-61	3	piece-31	270	-23,-2,25,-16
8	2	49	piece-12	0	piece-42	270	-23,-2,25,-16
8	3	54	piece-31	2	piece-12	270	-23,-2,25,-16
9	0	10	piece-52	2	piece-43	90	-9,15,-5,16
9	1	22	piece-07	3	piece-16	270	-9,15,-5,16
9	2	41	piece-43	1	piece-07	180	-9,15,-5,16
9	3	53	piece-16	0	piece-52	180	-9,15,-5,16
10	0	11	piece-24	0	piece-24	0	-27,-20,-15,28
10	1	30	piece-20	3	piece-50	270	-27,-20,-15,28
10	2	33	piece-59	1	piece-20	180	-27,-20,-15,28
10	3	52	piece-50	2	piece-59	270	-27,-20,-15,28
11	0	12	piece-14	2	piece-60	270	-22,26,27,-13
11	1	25	piece-28	3	piece-23	90	-22,26,27,-13
11	2	38	piece-60	0	piece-14	90	-22,26,27,-13
11	3	51	piece-23	1	piece-28	270	-22,26,27,-13
12	0	13	piece-10	3	piece-55	180	-4,22,24,23
12	1	17	piece-27	0	piece-10	270	-4,22,24,23
12	2	46	piece-13	1	piece-27	180	-4,22,24,23
12	3	50	piece-55	2	piece-13	90	-4,22,24,23
13	0	18	piece-29	2	piece-03	90	4,5,7,6
13	1	21	piece-38	3	piece-53	270	4,5,7,6
13	2	42	piece-03	0	piece-29	270	4,5,7,6
13	3	45	piece-53	1	piece-38	90	4,5,7,6
14	0	19	piece-57	1	piece-15	270	-19,-7,20,21
14	1	29	piece-15	3	piece-19	270	-19,-7,20,21
14	2	34	piece-09	0	piece-57	270	-19,-7,20,21
14	3	44	piece-19	2	piece-09	270	-19,-7,20,21
15	0	20	piece-18	1	piece-37	90	-26,-6,-18,-21
15	1	26	piece-37	0	piece-18	270	-26,-6,-18,-21
15	2	37	piece-58	3	piece-41	270	-26,-6,-18,-21
15	3	43	piece-41	2	piece-58	90	-26,-6,-18,-21
16	0	27	piece-08	0	piece-08	0	-17,17,18,19
16	1	28	piece-32	1	piece-32	0	-17,17,18,19
16	2	35	piece-35	3	piece-25	90	-17,17,18,19
16	3	36	piece-25	2	piece-35	270	-17,17,18,19
