group	slot	row	col	stable_id	filename	rotation	top	right	bottom	left
1	0	1	1	piece-36	7c8902f4019466fa.png	0	0	8	-1	0
2	0	1	2	piece-54	d5ff0d66d4c6fbd5.png	0	0	-10	-25	-8
3	0	1	3	piece-33	7823c236ce85bbcf.png	180	0	11	9	10
4	0	1	4	piece-64	fc793da6c44d60c6.png	0	0	-14	-28	-11
5	0	1	5	piece-21	4b0999026dcbabae.png	180	0	12	13	14
6	0	1	6	piece-49	b40e7e7a15144027.png	0	0	-3	-24	-12
7	0	1	7	piece-34	78fa5a64784a4cc1.png	90	0	1	2	3
1	1	1	8	piece-62	f4b6ed54114643f7.png	180	0	0	8	-1
7	1	2	1	piece-01	012df689bd47786d.png	180	1	2	3	0
8	0	2	2	piece-61	f04d095a24ce6a59.png	270	25	-16	-23	-2
9	0	2	3	piece-43	a4253108619f4721.png	90	-9	15	-5	16
10	0	2	4	piece-24	58d7deeb22b3c62f.png	0	28	-27	-20	-15
11	0	2	5	piece-60	eea916b15cef5ad2.png	270	-13	-22	26	27
12	0	2	6	piece-55	d66242325de4c2f1.png	180	24	23	-4	22
8	1	2	7	piece-31	735573d5f9ce29f4.png	270	-2	25	-16	-23
2	1	2	8	piece-17	29d8af01d09b089b.png	180	-8	0	-10	-25
6	1	3	1	piece-22	54731de6ea5b4e03.png	180	-3	-24	-12	0
12	1	3	2	piece-10	1dc600f55c815b5f.png	270	23	-4	22	24
13	0	3	3	piece-03	05f060616f1cbde6.png	90	5	7	6	4
14	0	3	4	piece-15	25b715a8832c0c78.png	270	20	21	-19	-7
15	0	3	5	piece-37	7f31c345b3400f6c.png	90	-26	-6	-18	-21
13	1	3	6	piece-53	d4188e6660358f3e.png	270	4	5	7	6
9	1	3	7	piece-16	27c3c949a77b79ea.png	270	16	-9	15	-5
3	1	3	8	piece-40	8f035f79954c0e48.png	0	10	0	11	9
5	1	4	1	piece-51	b69d480611d4bca5.png	0	12	13	14	0
11	1	4	2	piece-23	552002136317d67a.png	90	-22	26	27	-13
15	1	4	3	piece-18	2beb552767be0944.png	270	-6	-18	-21	-26
16	0	4	4	piece-08	16b816cdd5fa49c6.png	0	19	-17	17	18
16	1	4	5	piece-32	73b48f7f999806fa.png	0	18	19	-17	17
14	1	4	6	piece-19	2d79a7087f3beab0.png	270	-7	20	21	-19
10	1	4	7	piece-50	b4b000e932260a2a.png	270	-15	28	-27	-20
4	1	4	8	piece-46	abd7c3bc9e4cd31c.png	180	-11	0	-14	-28
4	2	5	1	piece-56	e0adc02ab3c53f23.png	180	-14	-28	-11	0
10	2	5	2	piece-20	3894280831292f98.png	180	-27	-20	-15	28
14	2	5	3	piece-57	e2bb903ca5731993.png	270	21	-19	-7	20
16	2	5	4	piece-25	58e9fbc9462b917a.png	90	-17	17	18	19
16	3	5	5	piece-35	7ae6d87492169423.png	270	17	18	19	-17
15	2	5	6	piece-41	9416101a91a1969c.png	270	-21	-26	-6	-18
11	2	5	7	piece-14	25727314b0b00d69.png	90	27	-13	-22	26
5	2	5	8	piece-06	122f009aa41704a7.png	0	14	0	12	13
3	2	6	1	piece-45	a9dc2ae3e9826a23.png	0	11	9	10	0
9	2	6	2	piece-07	163bfa2cd794b6b5.png	180	15	-5	16	-9
13	2	6	3	piece-29	69f5aba719252ade.png	270	7	6	4	5
15	3	6	4	piece-58	e5528e2b34bd41dd.png	90	-18	-21	-26	-6
14	3	6	5	piece-09	1706502469f36b19.png	270	-19	-7	20	21
13	3	6	6	piece-38	8d93a0cdcce93424.png	90	6	4	5	7
12	2	6	7	piece-27	5f8ff8fec7f1cd8f.png	180	22	24	23	-4
6	2	6	8	piece-44	a89996886dfec871.png	180	-12	0	-3	-24
2	2	7	1	piece-63	fbf94b061545c7bf.png	180	-10	-25	-8	0
8	2	7	2	piece-42	9e4c4d5cf9402cf7.png	270	-16	-23	-2	25
12	3	7	3	piece-13	23b7642533606d57.png	90	-4	22	24	23
11	3	7	4	piece-28	62dfc45e24707d0f.png	270	26	27	-13	-22
10	3	7	5	piece-59	e8837938a571d8ca.png	270	-20	-15	28	-27
9	3	7	6	piece-52	c14c6773cbd1e5d6.png	180	-5	16	-9	15
8	3	7	7	piece-12	206bdf015053afa1.png	270	-23	-2	25	-16
7	2	7	8	piece-02	0549df03028b03ec.png	270	3	0	1	2
1	2	8	1	piece-04	0945993824a060e5.png	180	8	-1	0	0
7	3	8	2	piece-11	1f0b9fba7f329890.png	180	2	3	0	1
6	3	8	3	piece-47	afc173d2024b9670.png	0	-24	-12	0	-3
5	3	8	4	piece-48	b0c372fabde48616.png	180	13	14	0	12
4	3	8	5	piece-39	8ef6b118920b7306.png	0	-28	-11	0	-14
3	3	8	6	piece-05	0f11d395344eb5d9.png	180	9	10	0	11
2	3	8	7	piece-30	71910ddd002f1f9a.png	0	-25	-8	0	-10
1	3	8	8	piece-26	5bba131a5af176b3.png	0	-1	0	0	8
