group	group_size	canonical_top	canonical_right	canonical_bottom	canonical_left	stable_id	filename	phase_to_canonical
1	4	-28	-11	0	-14	piece-39	8ef6b118920b7306.png	0
1	4	-28	-11	0	-14	piece-46	abd7c3bc9e4cd31c.png	270
1	4	-28	-11	0	-14	piece-56	e0adc02ab3c53f23.png	90
1	4	-28	-11	0	-14	piece-64	fc793da6c44d60c6.png	180
2	4	-27	-20	-15	28	piece-20	3894280831292f98.png	180
2	4	-27	-20	-15	28	piece-24	58d7deeb22b3c62f.png	270
2	4	-27	-20	-15	28	piece-50	b4b000e932260a2a.png	90
2	4	-27	-20	-15	28	piece-59	e8837938a571d8ca.png	0
3	4	-26	-6	-18	-21	piece-18	2beb552767be0944.png	0
3	4	-26	-6	-18	-21	piece-37	7f31c345b3400f6c.png	90
3	4	-26	-6	-18	-21	piece-41	9416101a91a1969c.png	180
3	4	-26	-6	-18	-21	piece-58	e5528e2b34bd41dd.png	270
4	4	-25	-8	0	-10	piece-17	29d8af01d09b089b.png	270
4	4	-25	-8	0	-10	piece-30	71910ddd002f1f9a.png	0
4	4	-25	-8	0	-10	piece-54	d5ff0d66d4c6fbd5.png	180
4	4	-25	-8	0	-10	piece-63	fbf94b061545c7bf.png	90
5	4	-24	-12	0	-3	piece-22	54731de6ea5b4e03.png	90
5	4	-24	-12	0	-3	piece-44	a89996886dfec871.png	270
5	4	-24	-12	0	-3	piece-47	afc173d2024b9670.png	0
5	4	-24	-12	0	-3	piece-49	b40e7e7a15144027.png	180
6	4	-23	-2	25	-16	piece-12	206bdf015053afa1.png	270
6	4	-23	-2	25	-16	piece-31	735573d5f9ce29f4.png	0
6	4	-23	-2	25	-16	piece-42	9e4c4d5cf9402cf7.png	180
6	4	-23	-2	25	-16	piece-61	f04d095a24ce6a59.png	90
7	4	-22	26	27	-13	piece-14	25727314b0b00d69.png	270
7	4	-22	26	27	-13	piece-23	552002136317d67a.png	90
7	4	-22	26	27	-13	piece-28	62dfc45e24707d0f.png	0
7	4	-22	26	27	-13	piece-60	eea916b15cef5ad2.png	180
8	4	-19	-7	20	21	piece-09	1706502469f36b19.png	270
8	4	-19	-7	20	21	piece-15	25b715a8832c0c78.png	90
8	4	-19	-7	20	21	piece-19	2d79a7087f3beab0.png	0
8	4	-19	-7	20	21	piece-57	e2bb903ca5731993.png	180
9	4	-17	17	18	19	piece-08	16b816cdd5fa49c6.png	270
9	4	-17	17	18	19	piece-25	58e9fbc9462b917a.png	90
9	4	-17	17	18	19	piece-32	73b48f7f999806fa.png	180
9	4	-17	17	18	19	piece-35	7ae6d87492169423.png	0
10	4	-9	15	-5	16	piece-07	163bfa2cd794b6b5.png	270
10	4	-9	15	-5	16	piece-16	27c3c949a77b79ea.png	180
10	4	-9	15	-5	16	piece-43	a4253108619f4721.png	90
10	4	-9	15	-5	16	piece-52	c14c6773cbd1e5d6.png	0
11	4	-4	22	24	23	piece-10	1dc600f55c815b5f.png	180
11	4	-4	22	24	23	piece-13	23b7642533606d57.png	90
11	4	-4	22	24	23	piece-27	5f8ff8fec7f1cd8f.png	270
11	4	-4	22	24	23	piece-55	d66242325de4c2f1.png	0
12	4	-1	0	0	8	piece-04	0945993824a060e5.png	90
12	4	-1	0	0	8	piece-26	5bba131a5af176b3.png	0
12	4	-1	0	0	8	piece-36	7c8902f4019466fa.png	180
12	4	-1	0	0	8	piece-62	f4b6ed54114643f7.png	270
13	4	0	1	2	3	piece-01	012df689bd47786d.png	270
13	4	0	1	2	3	piece-02	0549df03028b03ec.png	180
13	4	0	1	2	3	piece-11	1f0b9fba7f329890.png	0
13	4	0	1	2	3	piece-34	78fa5a64784a4cc1.png	90
14	4	0	11	9	10	piece-05	0f11d395344eb5d9.png	0
14	4	0	11	9	10	piece-33	7823c236ce85bbcf.png	180
14	4	0	11	9	10	piece-40	8f035f79954c0e48.png	270
14	4	0	11	9	10	piece-45	a9dc2ae3e9826a23.png	90
15	4	0	12	13	14	piece-06	122f009aa41704a7.png	270
15	4	0	12	13	14	piece-21	4b0999026dcbabae.png	180
15	4	0	12	13	14	piece-48	b0c372fabde48616.png	0
15	4	0	12	13	14	piece-51	b69d480611d4bca5.png	90
16	4	4	5	7	6	piece-03	05f060616f1cbde6.png	180
16	4	4	5	7	6	piece-29	69f5aba719252ade.png	90
16	4	4	5	7	6	piece-38	8d93a0cdcce93424.png	0
16	4	4	5	7	6	piece-53	d4188e6660358f3e.png	270
