stage3_mode	code	risk	answer	cyclic_index	extracted
SIGNATURE	01000	3	OPTIONS	3	T
SIGNATURE	01003	12	REPORTS	5	R
SIGNATURE	01100	5	SERVICE	5	I
SIGNATURE	01101	7	VERSION	7	N
SIGNATURE	11101	7	PREVIOUS	7	U
SIGNATURE	21001	6	RINGTONES	6	O
SIGNATURE	21103	15	FURNITURE	6	T
SIGNATURE	21201	9	COUNTRIES	9	S
DEMOCRACY	01011	11	PRINTER	4	N
DEMOCRACY	01213	21	EDITION	7	N
DEMOCRACY	11011	11	EVERYONE	3	E
DEMOCRACY	11111	13	EVIDENCE	5	E
DEMOCRACY	21010	10	CONTINUED	1	C
DEMOCRACY	21011	12	DETERMINE	3	T
DEMOCRACY	21110	12	PROCEDURE	3	O
DEMOCRACY	21213	22	EMERGENCY	4	R
