variant	position	top_stage	top_floor	bottom_stage	bottom_floor	polybius	letter
0	1	Pest Control	1	Return to Your Roots	3	13	C
0	2	To Market	1	Veteran Actor	1	11	A
0	3	Beware the Shadows	4	Repel the Outsiders	3	43	R
0	4	Daylight Robbery	2	Cultured	4	24	I
0	5	Hook, Line, and Sinker	3	Stopping the Advance	3	33	N
0	6	Learning for All	2	Guardian of Justice	2	22	G
1	1	Pest Control	1	Return to Your Roots	3	13	C
1	2	Whack-A-Mus	1	Muted Past	5	15	E
1	3	To Market	1	Veteran Actor	1	11	A
1	4	Beware the Shadows	4	Repel the Outsiders	3	43	R
1	5	Daylight Robbery	2	Cultured	4	24	I
1	6	Hook, Line, and Sinker	3	Stopping the Advance	3	33	N
1	7	Learning for All	2	Guardian of Justice	2	22	G
2	1	Pest Control	1	Return to Your Roots	3	13	C
2	2	To Market	1	Veteran Actor	1	11	A
2	3	Beware the Shadows	4	Repel the Outsiders	3	43	R
2	4	Shanhaizhong Scramble	4	Exemplary Service	4	44	S
2	5	Feng Shui	3	Ticket Please	1	31	M
2	6	Daylight Robbery	2	Cultured	4	24	I
2	7	Hook, Line, and Sinker	3	Stopping the Advance	3	33	N
2	8	Learning for All	2	Guardian of Justice	2	22	G
3	1	Pest Control	1	Return to Your Roots	3	13	C
3	2	To Market	1	Veteran Actor	1	11	A
3	3	Take the Stage	4	Rescue Mission	2	42	Q
3	4	Serious Business	1	Honed Edge	5	15	E
3	5	Take the Stage	4	Away, Hui!	3	43	R
3	6	Beware the Shadows	4	Repel the Outsiders	3	43	R
3	7	Daylight Robbery	2	Cultured	4	24	I
3	8	Hook, Line, and Sinker	3	Stopping the Advance	3	33	N
3	9	Learning for All	2	Guardian of Justice	2	22	G
