opaque_mode	panel	wait	hidden_assignments	scoring_assignments	qualifying_assignments	min_ron	max_ron	best_han	best_fu	best_yaku	example_hidden
faceup	1	1m	1	1	0	9600	9600	3	50	Riichi, Yakuhai (chun), Dora 1	1m 3p N C
faceup	1	2m	1	1	0	9600	9600	3	50	Riichi, Yakuhai (chun), Dora 1	2m 3p N C
faceup	1	3m	6	6	0	3900	7700	3	40	Riichi, Yakuhai (chun), Dora 1	1m 2m 3p C
faceup	1	4m	3	3	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	4m 3p N C
faceup	1	5m	5	5	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	5m 3p N C
faceup	1	6m	7	7	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	6m 3p N C
faceup	1	7m	7	7	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	7m 3p N C
faceup	1	8m	5	5	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	8m 3p N C
faceup	1	9m	3	3	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	9m 3p N C
faceup	1	1p	4	4	0	4800	9600	3	50	Riichi, Yakuhai (chun), Dora 1	1p 3p N C
faceup	1	3p	27	27	1	4800	12000	4	40	Riichi, Yakuhai (chun), Dora 2	3p 4p 5p C
faceup	1	4p	4	4	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	1p 3p N C
faceup	1	5p	5	5	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 5p N C
faceup	1	6p	7	7	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 6p N C
faceup	1	7p	7	7	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 7p N C
faceup	1	8p	5	5	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 8p N C
faceup	1	9p	3	3	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 9p N C
faceup	1	1s	3	3	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 1s N C
faceup	1	3s	8	8	0	4800	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 6s N C
faceup	1	4s	6	6	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 4s N C
faceup	1	5s	4	4	1	4800	12000	4	40	Riichi, Iipeiko, Yakuhai (chun), Dora 1	3p 4s 6s C
faceup	1	6s	4	4	0	4800	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 6s N C
faceup	1	7s	4	4	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 4s N C
faceup	1	8s	2	2	0	3900	7700	3	40	Riichi, Yakuhai (chun), Dora 1	3p 6s 7s C
faceup	1	N	14	14	0	3900	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 3s 6s C
faceup	1	F	1	1	0	9600	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p N F C
faceup	1	C	14	14	0	7700	9600	3	50	Riichi, Yakuhai (chun), Dora 1	3p 3s 6s N
faceup	2	2m	216	216	0	2000	11600	4	30	Riichi, Pinfu, Sanshoku Doujun	3m 4m 5m 6m 5p 6p 7p 5s 6s 7s
faceup	2	3m	268	268	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 5m 6m 1p 2p 3p 1s 2s 3s
faceup	2	4m	134	134	0	2000	7700	3	40	Riichi, Sanshoku Doujun	4m 5m 6m 9m 5p 6p 7p 5s 6s 7s
faceup	2	5m	278	278	0	2000	11600	4	30	Riichi, Pinfu, Sanshoku Doujun	1m 2m 3m 6m 1p 2p 3p 1s 2s 3s
faceup	2	6m	196	196	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 3m 5m 1p 2p 3p 1s 2s 3s
faceup	2	7m	515	515	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 3m 9m 1p 2p 3p 1s 2s 3s
faceup	2	8m	463	463	4	2000	18000	6	40	Riichi, Sanshoku Doujun, Junchan	1m 2m 3m 9m 1p 2p 3p 1s 2s 3s
faceup	2	9m	237	237	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 3m 7m 1p 2p 3p 1s 2s 3s
faceup	2	1p	142	142	0	2000	11600	4	30	Riichi, Pinfu, Sanshoku Doujun	1m 2m 3m 5m 6m 2p 3p 1s 2s 3s
faceup	2	2p	206	206	0	2000	11600	4	30	Riichi, Pinfu, Sanshoku Doujun	5m 6m 3p 4p 5p 6p 7p 5s 6s 7s
faceup	2	3p	258	258	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 3m 5m 6m 1p 2p 1s 2s 3s
faceup	2	4p	247	247	0	2000	11600	4	30	Riichi, Pinfu, Ittsu	5m 6m 1p 2p 3p 5p 6p 7p 8p 9p
faceup	2	5p	232	232	0	2000	11600	4	30	Riichi, Pinfu, Sanshoku Doujun	1m 2m 3m 5m 6m 6p 7p 5s 6s 7s
faceup	2	6p	149	149	0	2000	11600	4	30	Riichi, Pinfu, Ittsu	5m 6m 1p 2p 3p 4p 5p 7p 8p 9p
faceup	2	7p	275	275	0	2000	11600	4	30	Riichi, Pinfu, Sanshoku Doujun	1m 2m 3m 5m 6m 5p 6p 5s 6s 7s
faceup	2	8p	206	206	0	2000	7700	3	40	Riichi, Ittsu	5m 6m 1p 2p 3p 4p 5p 6p 7p 9p
faceup	2	1s	51	51	0	2000	7700	3	40	Riichi, Sanshoku Doujun	5m 6m 9m 5p 6p 7p 1s 5s 6s 7s
faceup	2	2s	174	174	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 3m 5m 6m 1p 2p 3p 1s 3s
faceup	2	3s	174	174	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 3m 5m 6m 1p 2p 3p 1s 2s
faceup	2	5s	136	136	0	2000	11600	4	30	Riichi, Pinfu, Sanshoku Doujun	1m 2m 3m 5m 6m 5p 6p 7p 6s 7s
faceup	2	6s	116	116	0	2000	7700	3	40	Riichi, Sanshoku Doujun	1m 2m 3m 5m 6m 5p 6p 7p 5s 7s
faceup	2	7s	199	199	0	2000	2000	1	40	Riichi	1m 2m 3m 4m 5m 6m 7m 9m 6s 8s
faceup	2	8s	209	209	0	2000	7700	3	40	Riichi, Sanshoku Doujun	5m 6m 9m 5p 6p 7p 5s 6s 7s 8s
faceup	2	S	63	63	0	2000	7700	3	40	Riichi, Sanshoku Doujun	5m 6m 9m 5p 6p 7p 5s 6s 7s S
faceup	2	W	63	63	0	2000	7700	3	40	Riichi, Sanshoku Doujun	5m 6m 9m 5p 6p 7p 5s 6s 7s W
faceup	2	N	63	63	0	2000	7700	3	40	Riichi, Sanshoku Doujun	5m 6m 9m 5p 6p 7p 5s 6s 7s N
faceup	2	C	63	63	0	2400	9600	3	50	Riichi, Sanshoku Doujun	5m 6m 9m 5p 6p 7p 5s 6s 7s C
faceup	3	1m	1	1	0	11600	11600	4	30	Yakuhai (haku), Dora 3	1m 5p 8s
faceup	3	2m	1	1	0	11600	11600	4	30	Yakuhai (haku), Dora 3	2m 5p 8s
faceup	3	3m	3	3	0	5800	5800	3	30	Yakuhai (haku), Dora 2	1m 2m 8s
faceup	3	4m	2	2	0	5800	11600	4	30	Yakuhai (haku), Dora 3	4m 5p 8s
faceup	3	5m	3	3	0	5800	11600	4	30	Yakuhai (haku), Dora 3	5m 5p 8s
faceup	3	6m	4	4	0	5800	11600	4	30	Yakuhai (haku), Dora 3	6m 5p 8s
faceup	3	7m	4	4	0	5800	11600	4	30	Yakuhai (haku), Dora 3	7m 5p 8s
faceup	3	8m	3	3	0	5800	11600	4	30	Yakuhai (haku), Dora 3	8m 5p 8s
faceup	3	9m	2	2	0	5800	11600	4	30	Yakuhai (haku), Dora 3	9m 5p 8s
faceup	3	1p	2	2	0	5800	11600	4	30	Yakuhai (haku), Dora 3	1p 5p 8s
faceup	3	2p	3	3	0	5800	11600	4	30	Yakuhai (haku), Dora 3	2p 5p 8s
