row	answer	old_tag	old_club	updated_club	extracted_initial
1	PERSONALITY	SPY	Splyce	MAD Lions	M
2	BITCOIN	BTC	Team BattleComics	SANDBOX Gaming	S
3	GLUCOSE	CG	Clutch Gaming	Dignitas	D
4	CROW	RW	Rogue Warriors	Anyone's Legend	A
5	IRELAND	DAN	DAN Gaming	Topsports Gaming	T
6	GROUP	OG	Origen	Astralis	A
7	SEPTEMBER	TSM	Team SoloMid	Shopify Rebellion	S
8	CARBON DIOXIDE	ROX	ROX Tigers	Hanwha Life Esports	H
9	QUALCOMM (China)	LMQ	LMQ.TC	EDward Gaming	E
10	GULF OF MEXICO (USA)	FOX	Echo Fox	Evil Geniuses	E
11	CHARLES	CRS	Team Curse	Team Liquid	T
