slot	color	direction	length	extract_position	target	target_row	target_col	start_row	start_col	word	valid
R1	R	right	3	2	阳	1	19	1	18	太阳总	True
R2	R	down	3	2	柿	2	5	1	5	收柿长	True
R3	R	down	3	3	袍	5	8	3	8	英冰袍	True
R4	R	down-right	3	2	口	7	5	6	4	花口雄	True
R5	R	right	3	2	酒	10	8	10	7	大酒会	True
Y1	Y	right	3	2	地	1	2	1	1	大地从	True
Y2	Y	down	3	1	收	1	5	1	5	收柿长	True
Y3	Y	down-right	4	3	鸭	6	13	4	11	盼珠鸭在	True
Y4	Y	down	5	3	星	6	17	4	17	用好星住碧	True
Y5	Y	right	4	4	蜜	12	8	12	5	芳如蜂蜜	True
Y6	Y	down	3	2	金	11	4	10	4	间金芬	True
G1	G	down-right	4	1	青	2	11	2	11	青庄这开	True
G2	G	right	4	3	林	4	16	4	14	是山林用	True
G3	G	down	3	2	叶	4	18	3	18	守叶风	True
G4	G	right	3	2	碧	8	17	8	16	雪碧把	True
C1	C	right	3	2	山	3	11	3	10	群山庄	True
C2	C	down	4	2	冰	4	8	3	8	英冰袍茶	True
C3	C	right	3	2	水	5	11	5	10	下水珠	True
C4	C	down	4	3	江	6	15	4	15	山雪江闲	True
