direction	clue	answer	start
A	1	棒冰	r3c12
A	2	爆裂鼓手	r8c3
A	3	不老泉	r1c1
A	4	长坂坡	r1c4
A	5	长枪短炮	r9c5
A	6	潮涌核心	r10c8
A	7	床头柜	r4c11
A	8	村纱水蜜	r7c8
A	9	纷至沓来	r2c7
A	10	丰川集团	r10c1
A	11	蜂王浆	r5c10
A	12	坩埚钳	r8c9
A	13	海棠诗社	r7c2
A	14	红光满面	r2c11
A	15	胡姬花	r6c6
A	16	江嗣阶	r6c1
A	17	莱万汀	r3c3
A	18	六丁神火	r5c3
A	19	钼铅	r3c1
A	20	吐信	r5c8
A	21	星罗棋布	r9c11
A	22	一岁一枯荣	r1c8
A	23	银河系	r7c12
D	1	板上钉钉	r1c5
D	2	冰柜	r3c13
D	3	冰锥	r9c3
D	4	波浪浮亭木胡桃	r1c6
D	5	柏克莱	r1c3
D	6	不如相忘于江湖	r1c1
D	7	楚庄王	r3c11
D	8	蜂房水涡	r5c10
D	9	泔水桶	r8c9
D	10	海纳百川	r7c2
D	11	柯烂棋	r7c13
D	12	六阶堂	r5c3
D	13	蜜柑星	r7c11
D	14	平面直角坐标系	r1c14
D	15	神鸦社鼓	r5c5
D	16	生根	r6c12
D	17	手枪腿	r8c6
D	18	杏花村	r5c8
D	19	杳无音信	r2c9
D	20	一来	r1c10
D	21	荧光棒	r1c12
