row	cell	across_char	across_element	down_char	down_element	relation	signal	row_code	letter
1	r1c3	泉	水	柏	木	水生木	.	.--.	P
1	r1c5	坂	土	板	木	木克土	-	.--.	P
1	r1c6	坡	土	波	水	土克水	-	.--.	P
1	r1c12	荣	木	荧	火	木生火	.	.--.	P
2	r2c9	沓	水	杳	木	水生木	.	.	E
3	r3c1	钼	金	相	木	金克木	-	-.	N
3	r3c5	汀	水	钉	金	金生水	.	-.	N
4	r4c11	床	木	庄	土	木克土	-	-	T
5	r5c6	火	火	木	木	木生火	.	.-	A
5	r5c8	吐	土	杏	木	木克土	-	.-	A
7	r7c3	棠	木	堂	土	木克土	-	--.	G
7	r7c12	银	金	根	木	金克木	-	--.	G
7	r7c13	河	水	柯	木	水生木	.	--.	G
8	r8c9	坩	土	泔	水	土克水	-	---	O
8	r8c10	埚	土	涡	水	土克水	-	---	O
8	r8c11	钳	金	柑	木	金克木	-	---	O
10	r10c3	集	木	锥	金	金克木	-	-.	N
10	r10c9	涌	水	桶	木	水生木	.	-.	N
