reading_order	glyph	letter	x	y	connection
1	glyph-008	D	687.5	144.0	forest-map
2	glyph-011	I	893.0	176.0	moles-mallet
3	glyph-018	C	817.0	221.5	forest-map
4	glyph-019	T	1019.5	231.5	oil-derrick
5	glyph-029	D	955.5	311.0	moles-mallet
6	glyph-037	E	687.5	363.5	lottery-morse
7	glyph-041	F	1027.5	374.0	speech-rhetoric
8	glyph-047	S	721.0	429.0	lottery-morse;leader-powerpoint
9	glyph-049	F	1007.5	442.0	moles-mallet
10	glyph-052	O	752.0	485.0	lottery-morse
11	glyph-056	R	839.5	507.5	moving-box
12	glyph-061	R	737.5	550.5	moving-box
13	glyph-065	E	900.0	575.0	trash-vacuum
14	glyph-064	D	1061.0	572.0	moles-mallet
15	glyph-067	A	649.0	596.0	moving-box
16	glyph-073	R	826.0	625.0	lottery-morse
17	glyph-074	E	958.0	632.0	trash-vacuum
18	glyph-075	A	1094.5	650.5	moles-mallet
19	glyph-079	H	852.5	664.5	lottery-morse
20	glyph-082	A	1021.0	684.5	trash-vacuum
21	glyph-087	N	737.5	715.5	gang-nunchaku
22	glyph-099	Z	667.5	857.0	temptation-cornflakes
23	glyph-103	I	1024.5	861.0	branches-shears
