glyph	letter	x	y
red-001	F	1027.5	374.0
red-002	D	687.5	405.5
red-003	N	1059.0	417.0
red-004	S	721.0	429.0
red-005	B	913.0	434.5
red-006	F	1007.5	442.0
red-007	R	650.0	464.5
red-008	S	1071.0	476.0
red-009	E	702.5	487.5
red-010	O	752.0	485.0
red-011	U	1012.0	506.0
red-012	I	659.5	507.5
red-013	R	839.5	507.5
red-014	J	737.0	510.0
red-015	D	651.5	547.5
red-016	R	737.5	550.5
red-017	K	1087.5	549.5
red-018	A	969.0	563.0
red-019	D	1061.0	572.0
red-020	E	900.0	575.0
red-021	C	1007.5	591.5
red-022	E	723.5	591.5
red-023	A	649.0	596.0
red-024	E	885.5	618.5
red-025	G	712.0	621.5
red-026	I	1044.5	624.0
red-027	R	826.0	625.0
red-028	E	958.0	632.0
red-029	A	1094.5	650.5
red-030	U	748.0	651.5
red-031	H	677.0	660.0
red-032	H	852.5	664.5
red-033	A	779.5	665.5
red-034	W	818.0	678.0
red-035	A	1021.0	684.5
red-036	U	1080.5	710.0
red-037	N	737.5	715.5
red-038	A	701.5	726.0
red-039	E	1019.0	731.0
red-040	I	669.5	753.0
red-041	S	1046.5	768.5
red-042	P	640.5	774.0
