slot	node	nth_folder	string_len_L	letter_index	letter	feeder_answer	transformed_string
1	c02	1	14	4	B	LITHARGE	CARBONMONOXIDE
2	c01	1	4	3	A	PITA	NAAN
3	c02	2	14	1	C	LITHARGE	CARBONMONOXIDE
4	c08	1	11	10	K	KAGAMINE RIN	HATSUNEMIKU
5	c05	1	16	14	U	BOUGAINVILLEA	VANDAMISSJOAQUIM
6	c03	1	18	17	P	JOHN TYLER	CARLOAZEGLIOCIAMPI
7	c04	1	7	3	A	UMBREON	FLAREON
8	c01	2	4	1	N	PITA	NAAN
9	c05	2	16	4	D	BOUGAINVILLEA	VANDAMISSJOAQUIM
10	c07	1	16	1	T	EMERGENCY SKIN	TWOTRUTHSANDALIE
11	c06	1	4	4	E	JAMES SHOAL	MOHE
12	c10	1	17	12	S	CLOTHOID	LOGARITHMICSPIRAL
13	c09	1	6	2	T	PAINTBRUSH	STROKE
14	c07	2	16	9	S	EMERGENCY SKIN	TWOTRUTHSANDALIE
15	c08	2	11	5	U	KAGAMINE RIN	HATSUNEMIKU
16	c06	2	4	1	M	JAMES SHOAL	MOHE
17	c05	3	16	6	M	BOUGAINVILLEA	VANDAMISSJOAQUIM
18	c01	3	4	3	A	PITA	NAAN
19	c04	2	7	4	R	UMBREON	FLAREON
20	c02	3	14	12	I	LITHARGE	CARBONMONOXIDE
21	c03	2	18	7	Z	JOHN TYLER	CARLOAZEGLIOCIAMPI
22	c09	2	6	6	E	PAINTBRUSH	STROKE
23	c10	2	17	7	T	CLOTHOID	LOGARITHMICSPIRAL
24	c06	3	4	3	H	JAMES SHOAL	MOHE
25	c04	3	7	5	E	UMBREON	FLAREON
26	c10	3	17	3	G	CLOTHOID	LOGARITHMICSPIRAL
27	c03	3	18	14	I	JOHN TYLER	CARLOAZEGLIOCIAMPI
28	c09	3	6	1	S	PAINTBRUSH	STROKE
29	c07	3	16	4	T	EMERGENCY SKIN	TWOTRUTHSANDALIE
30	c08	3	11	4	S	KAGAMINE RIN	HATSUNEMIKU
