level	theme	pairs
1	城市别称与市花	鹏=簕杜鹃; 山=山茶花; 江=梅花; 申=白玉兰; 泉=莲花; 榕=茉莉花; 龙=菊花; 鲤=刺桐; 蓉=木芙蓉; 洪=金边瑞香; 冰=丁香; 金=君子兰
2	《植物大战僵尸》植物与阳光费用	樱桃=150; 土豆=25; 卷心菜=100; 玉米玉米=500; 蘑菇=0; 香蒲=225; 咖啡豆=75; 大蒜=50; 树桩=175; 豌豆豌豆=250; 西瓜=300; 南瓜=125
3	宝可梦与植物原型	白蓬蓬=棉花; 热带龙=香蕉; 百合=裙儿小姐; 向日花怪=向日葵; 大食花=猪笼草; 藤藤蛇=常春藤; 椰蛋树=鸡蛋; 奥利瓦=油橄榄; 菊草叶=菊苣; 苹果=裹蜜虫; 甜竹竹=山竹; 刺沙蓬=纳噬草
4	花名与歌词线索	菟丝=情根永付 终生依附; 水仙=那麼娇那麼嫩; 红棉=英姿勃发堪敬仰; 海棠=晚秋雨露比酒美; 紫荆=舞动雨中像一把伞; 山茶=倍添美好年华; 梅=迎着雨面对风雪; 含笑=淡妆可共画描; 紫薇=愿意永远亲近你; 牡丹=一想见心花就开; 昙花=一再留下你孤独睡; 桂花=似春抱我入眠
5	同一种植物的异名	地瓜=红薯; 荸荠=马蹄; 包菜=卷心菜; 万寿果=黄瓜; 草莓=士多啤梨; 榴莲=麝香猫果; 百香果=西番莲果; 罗勒=金不换; 凤梨=菠萝; 喇叭花=牵牛花; 葡萄柚=西柚; 释迦=番荔枝
6	古籍植物分类词	大黄=毒草; 紫菜=水菜; 艾草=隰草; 柔滑=菠菜; 鸡枞=芝栭; 木香=芳草; 蓏菜=冬瓜; 人参=山草; 荔枝=夷果; 木瓜=山果; 五果=葡萄; 水果=莲藕
7	生肖植物与含地支的词	鸡冠花=酒吧; 猪笼草=核心; 牛奶树=纽扣; 虎刺梅=演员; 羊踯躅=味觉; 马蹄莲=许仙; 猴头菇=神祗; 龙舌兰=震荡; 兔脚蕨=柳树; 狗牙根=芦笋; 蛇目菊=异常; 鼠尾草=好题
8	植物的文化象征	兰花=幽雅; 桑树=故乡; 柏树=长寿; 桃花=爱情; 丁香=心结; 槐树=仕途; 莲花=清白; 牡丹=富贵; 红豆=相思; 菊花=淡泊; 萱草=父爱; 白杨=死亡
9	花札月份植物与带数字植物	丁香=七里香; 枫叶=十蕊商陆; 牡丹=六月雪; 樱花=三色堇; 菖蒲=五爪金龙; 泡桐=十二卷; 菊花=九层塔; 柳树=十一叶雪胆; 芒草=八角; 紫藤=四季海棠; 梅花=二月兰; 松树=一叶兰
10	台风名与命名国家或地区	紫檀=菲律宾; 普拉桑=马来西亚; 百合=韩国; 班朗=越南; 莲花=中国澳门; 榴莲=泰国; 海棠=中国大陆; 古超=印度尼西亚; 蒲公英=朝鲜; 娜基莉=柬埔寨; 海高斯=美国; 榕树=中国香港
11	部件成对抵消后的残片与语义线索	西反=修理水管; 浦=火影忍者; 广大=国内禁用; 纳=群星之瞳; 卜又寸=著名歌手; 月户古=七个小孩; 宗门=海南油料; 米禾日失=明日方舟; 纟=养血柔肝; 木肉=螺旋面团; 空白=甜味饮料; 巴比=清肺止咳
