order	bloom	color	answer	DECELERATIONS_letter	DENUNCIATIONS_letter	verdict
1	K-L-3	white	OVOIDS	D	D	both rejected
2	J-K-4	pink	CALLED	E	E	both rejected
3	J-K-1	pink	CANADA	C	N	both rejected
4	H-I-4	white	SUMTER	E	U	both rejected
5	H-I-1	white	POLINA	L	N	both rejected
6	F-G-4	gray	STERIC	E	C	both rejected
7	F-G-2	gray	SIRIUS	R	I	both rejected
8	F-G-1	gray	COMPAT	A	A	both rejected
9	D-E-3	pink	REBOOT	T	T	both rejected
10	D-E-2	pink	ORIENT	I	I	both rejected
11	C-D-1	gray	BROADS	O	O	both rejected
12	B-C-3	white	ONEHAS	N	N	both rejected
13	A-B-2	pink	WRECKS	S	S	both rejected
