pair	color	position	upper	lower	signature	answer
A-B	pink	0	HTA	EER	HTAREE	THEERA
A-B	pink	1	WRE	SKC	WRECKS	WRECKS
A-B	pink	2	ATH	MLE	ATHELM	THELMA
B-C	white	0	LYC	PMO	LYCOMP	COMPLY
B-C	white	1	IDE	HPL	IDELPH	DELPHI
B-C	white	2	HAS	ENO	HASONE	ONEHAS
B-C	white	3	ONE	LAM	ONEMAL	MALONE
C-D	gray	0	RBS	OAD	RBSDAO	BROADS
C-D	gray	1	GER	NAD	GERDAN	DANGER
C-D	gray	2	LED	OOP	LEDPOO	POOLED
D-E	pink	0	UPL	OCE	UPLECO	COUPLE
D-E	pink	1	TOR	NEI	TORIEN	ORIENT
D-E	pink	2	OTR	OBE	OTREBO	REBOOT
D-E	pink	3	LUA	ANT	LUATNA	LANTAU
E-F	white	0	XSA	HOS	XSASOH	XHOSAS
E-F	white	1	MOT	SRO	MOTORS	MOTORS
E-F	white	2	TEN	OPT	TENTPO	POTENT
F-G	gray	0	PAT	MOC	PATCOM	COMPAT
F-G	gray	1	IRI	USS	IRISSU	SIRIUS
F-G	gray	2	HIT	POP	HITPOP	POPHIT
F-G	gray	3	ICS	RET	ICSTER	STERIC
G-H	pink	0	AUS	NAE	AUSEAN	NAUSEA
G-H	pink	1	GIE	HTH	GIEHTH	HEIGHT
G-H	pink	2	ULA	MAR	ULARAM	ALUMAR
H-I	white	0	ANI	POL	ANILOP	POLINA
H-I	white	1	SUC	TEH	SUCHET	SUCHET
H-I	white	2	OMS	OLB	OMSBLO	BLOOMS
H-I	white	3	TER	MUS	TERSUM	SUMTER
I-J	gray	0	ISH	LER	ISHREL	RELISH
I-J	gray	1	ITO	HIM	ITOMIH	HITOMI
I-J	gray	2	ELE	HAN	ELENAH	HELENA
J-K	pink	0	CAN	ADA	CANADA	CANADA
J-K	pink	1	OKI	LIN	OKINIL	NIKOLI
J-K	pink	2	MAI	ODN	MAINDO	DOMAIN
J-K	pink	3	DEL	CAL	DELLAC	CALLED
K-L	white	0	MEC	ENA	MECANE	MENACE
K-L	white	1	ENC	HWE	ENCEWH	WHENCE
K-L	white	2	OVO	IDS	OVOSDI	OVOIDS
