id	row	index	letter	x	y	bloom	petal	neighbors
A00	A	0	H	256.00	123.50	A-B-1	NW	A01,B03
A01	A	1	T	296.00	100.00	A-B-1	N	A00,A02
A02	A	2	A	336.00	123.50	A-B-1	NE	A01,B05
A03	A	3	W	496.00	123.50	A-B-2	NW	A04,B09
A04	A	4	R	536.00	100.00	A-B-2	N	A03,A05
A05	A	5	E	576.00	123.50	A-B-2	NE	A04,B11
A06	A	6	A	736.00	123.50	A-B-3	NW	A07,B15
A07	A	7	T	776.00	100.00	A-B-3	N	A06,A08
A08	A	8	H	816.00	123.50	A-B-3	NE	A07,B17
B00	B	0	L	136.00	194.00	B-C-1	NW	B01,C00
B01	B	1	Y	176.00	170.50	B-C-1	N	B00,B02
B02	B	2	C	216.00	194.00	B-C-1	NE	B01,B03,C02
B03	B	3	E	256.00	170.50	A-B-1	SW	A00,B02,B04
B04	B	4	E	296.00	194.00	A-B-1	S	B03,B05,C04
B05	B	5	R	336.00	170.50	A-B-1	SE	A02,B04,B06
B06	B	6	I	376.00	194.00	B-C-2	NW	B05,B07,C06
B07	B	7	D	416.00	170.50	B-C-2	N	B06,B08
B08	B	8	E	456.00	194.00	B-C-2	NE	B07,B09,C08
B09	B	9	S	496.00	170.50	A-B-2	SW	A03,B08,B10
B10	B	10	K	536.00	194.00	A-B-2	S	B09,B11,C10
B11	B	11	C	576.00	170.50	A-B-2	SE	A05,B10,B12
B12	B	12	H	616.00	194.00	B-C-3	NW	B11,B13,C12
B13	B	13	A	656.00	170.50	B-C-3	N	B12,B14
B14	B	14	S	696.00	194.00	B-C-3	NE	B13,B15,C14
B15	B	15	M	736.00	170.50	A-B-3	SW	A06,B14,B16
B16	B	16	L	776.00	194.00	A-B-3	S	B15,B17,C16
B17	B	17	E	816.00	170.50	A-B-3	SE	A08,B16,B18
B18	B	18	O	856.00	194.00	B-C-4	NW	B17,B19,C18
B19	B	19	N	896.00	170.50	B-C-4	N	B18,B20
B20	B	20	E	936.00	194.00	B-C-4	NE	B19,C20
C00	C	0	P	136.00	241.00	B-C-1	SW	B00,C01
C01	C	1	M	176.00	264.50	B-C-1	S	C00,C02,D01
C02	C	2	O	216.00	241.00	B-C-1	SE	B02,C01,C03
C03	C	3	R	256.00	264.50	C-D-1	NW	C02,C04,D03
C04	C	4	B	296.00	241.00	C-D-1	N	B04,C03,C05
C05	C	5	S	336.00	264.50	C-D-1	NE	C04,C06,D05
C06	C	6	H	376.00	241.00	B-C-2	SW	B06,C05,C07
C07	C	7	P	416.00	264.50	B-C-2	S	C06,C08,D07
C08	C	8	L	456.00	241.00	B-C-2	SE	B08,C07,C09
C09	C	9	G	496.00	264.50	C-D-2	NW	C08,C10,D09
C10	C	10	E	536.00	241.00	C-D-2	N	B10,C09,C11
C11	C	11	R	576.00	264.50	C-D-2	NE	C10,C12,D11
C12	C	12	E	616.00	241.00	B-C-3	SW	B12,C11,C13
C13	C	13	N	656.00	264.50	B-C-3	S	C12,C14,D13
C14	C	14	O	696.00	241.00	B-C-3	SE	B14,C13,C15
C15	C	15	L	736.00	264.50	C-D-3	NW	C14,C16,D15
C16	C	16	E	776.00	241.00	C-D-3	N	B16,C15,C17
