a	b
A00	A01
A00	B03
A01	A02
A02	B05
A03	A04
A03	B09
A04	A05
A05	B11
A06	A07
A06	B15
A07	A08
A08	B17
B00	B01
B00	C00
B01	B02
B02	B03
B02	C02
B03	B04
B04	B05
B04	C04
B05	B06
B06	B07
B06	C06
B07	B08
B08	B09
B08	C08
B09	B10
B10	B11
B10	C10
B11	B12
B12	B13
B12	C12
B13	B14
B14	B15
B14	C14
B15	B16
B16	B17
B16	C16
B17	B18
B18	B19
B18	C18
B19	B20
B20	C20
C00	C01
C01	C02
C01	D01
C02	C03
C03	C04
C03	D03
C04	C05
C05	C06
C05	D05
C06	C07
C07	C08
C07	D07
C08	C09
C09	C10
C09	D09
C10	C11
C11	C12
C11	D11
C12	C13
C13	C14
C13	D13
C14	C15
C15	C16
C15	D15
C16	C17
C17	C18
C17	D17
C18	C19
C19	C20
C19	D19
D00	D01
D00	E00
D01	D02
D02	D03
D02	E02
D03	D04
D04	D05
D04	E04
D05	D06
D06	D07
D06	E06
D07	D08
D08	D09
D08	E08
D09	D10
D10	D11
D10	E10
D11	D12
D12	D13
D12	E12
D13	D14
D14	D15
D14	E14
D15	D16
D16	D17
D16	E16
D17	D18
D18	D19
D18	E18
D19	D20
D20	E20
E00	E01
E01	E02
E01	F01
E02	E03
E03	E04
E03	F03
E04	E05
E05	E06
E05	F05
E06	E07
E07	E08
E07	F07
E08	E09
E09	E10
E09	F09
E10	E11
E11	E12
E11	F11
E12	E13
E13	E14
E13	F13
E14	E15
E15	E16
E15	F15
E16	E17
E17	E18
E17	F17
E18	E19
E19	E20
E19	F19
F00	F01
F00	G00
F01	F02
F02	F03
F02	G02
F03	F04
F04	F05
F04	G04
F05	F06
F06	F07
F06	G06
F07	F08
F08	F09
F08	G08
F09	F10
F10	F11
F10	G10
F11	F12
F12	F13
F12	G12
F13	F14
F14	F15
F14	G14
F15	F16
F16	F17
F16	G16
F17	F18
F18	F19
F18	G18
F19	F20
F20	G20
G00	G01
G01	G02
G01	H01
G02	G03
G03	G04
G03	H03
G04	G05
G05	G06
G05	H05
G06	G07
G07	G08
G07	H07
G08	G09
G09	G10
G09	H09
G10	G11
G11	G12
G11	H11
G12	G13
G13	G14
G13	H13
G14	G15
G15	G16
G15	H15
G16	G17
G17	G18
G17	H17
G18	G19
G19	G20
G19	H19
H00	H01
H00	I00
H01	H02
H02	H03
H02	I02
H03	H04
H04	H05
H04	I04
H05	H06
H06	H07
H06	I06
H07	H08
H08	H09
H08	I08
H09	H10
H10	H11
H10	I10
H11	H12
H12	H13
H12	I12
H13	H14
H14	H15
H14	I14
H15	H16
H16	H17
H16	I16
H17	H18
H18	H19
H18	I18
H19	H20
H20	I20
I00	I01
I01	I02
I01	J01
I02	I03
I03	I04
I03	J03
I04	I05
I05	I06
I05	J05
I06	I07
I07	I08
I07	J07
I08	I09
I09	I10
I09	J09
I10	I11
I11	I12
I11	J11
I12	I13
I13	I14
I13	J13
I14	I15
I15	I16
I15	J15
I16	I17
I17	I18
I17	J17
I18	I19
I19	I20
I19	J19
J00	J01
J00	K00
J01	J02
J02	J03
J02	K02
J03	J04
J04	J05
J04	K04
J05	J06
J06	J07
J06	K06
J07	J08
J08	J09
J08	K08
J09	J10
J10	J11
J10	K10
J11	J12
J12	J13
J12	K12
J13	J14
J14	J15
J14	K14
J15	J16
J16	J17
J16	K16
J17	J18
J18	J19
J18	K18
J19	J20
J20	K20
K00	K01
K01	K02
K02	K03
K03	K04
K03	L00
K04	K05
K05	K06
K05	L02
K06	K07
K07	K08
K08	K09
K09	K10
K09	L03
K10	K11
K11	K12
K11	L05
K12	K13
K13	K14
K14	K15
K15	K16
K15	L06
K16	K17
K17	K18
K17	L08
K18	K19
K19	K20
L00	L01
L01	L02
L03	L04
L04	L05
L06	L07
L07	L08
