ACCORDION 手风琴
AFGHANISTAN 阿富汗
AGATE 玛瑙
AGAVE 龙舌兰
ALCOHOL 酒精
ALGEBRA 代数
ALMOND 杏仁
ALOHA 阿罗哈
AMBER 琥珀
AMBULANCE 救护车
AMEN 阿门
ANGOLA 安哥拉
ANIME 动画
APOLLO 阿波罗
APRICOT 杏
ARGENTINA 阿根廷
ARGON 氩
ARMADA 舰队
ARMENIA 亚美尼亚
ASPIRIN 阿司匹林
ATHENA 雅典娜
ATHENS 雅典
ATLANTA 亚特兰大
AUCKLAND 奥克兰
AUSTRALIA 澳大利亚
AUSTRIA 奥地利
AVATAR 阿凡达
AVOCADO 鳄梨
BACON 培根
BADMINTON 羽毛球
BAGEL 贝果
BAGHDAD 巴格达
BAGUETTE 法棍
BAHAMAS 巴哈马
BAHRAIN 巴林
BALCONY 阳台
BALI 巴厘
BALLET 芭蕾
BAMBOO 竹子
BANANA 香蕉
BANDANA 头巾
BANDIT 强盗
BANGKOK 曼谷
BANJO 班卓
BANJO 班卓琴
BARBADOS 巴巴多斯
BARCELONA 巴塞罗那
BARLEY 大麦
BASALT 玄武岩
BASIL 罗勒
BASKETBALL 篮球
BELGIUM 比利时
BERLIN 柏林
BHUTAN 不丹
BIKINI 比基尼
BISCUIT 饼干
BLAZER 西装外套
BLINI 布林饼
BLITZ 闪电战
BLOUSE 衬衫
BLUES 蓝调
BOLIVIA 玻利维亚
BOMBAY 孟买
BONSAI 盆栽
BOOMERANG 回旋镖
BORNEO 婆罗洲
BORSCHT 罗宋汤
BOSS 老板
BOSTON 波士顿
BOULEVARD 林荫大道
BOUQUET 花束
BOURBON 波本
BOUTIQUE 精品店
BRANDY 白兰地
BRAZIL 巴西
BRIOCHE 布里欧
BROCCOLI 西兰花
BRONZE 青铜
BROWNIE 布朗尼
BRUSSELS 布鲁塞尔
BUDAPEST 布达佩斯
BUFFALO 布法罗
BUFFET 自助餐
BULGARIA 保加利亚
BUNGALOW 平房
BUREAU 局
BURRITO 墨西哥卷饼
CABARET 卡巴莱
CABBAGE 卷心菜
CACTUS 仙人掌
CAFE 咖啡馆
CAFFEINE 咖啡因
CALCUTTA 加尔各答
CALORIE 卡路里
CAMBODIA 柬埔寨
CAMBRIDGE 剑桥
CAMELLIA 山茶
CAMERA 相机
CANADA 加拿大
CANBERRA 堪培拉
CANDY 糖果
CANYON 峡谷
CAPPUCCINO 卡布奇诺
CARAMEL 焦糖
CARDAMOM 豆蔻
CARDIGAN 开衫
CARGO 货物
CARNATION 康乃馨
CARNIVAL 嘉年华
CARROT 胡萝卜
CARTOON 卡通
CASHEW 腰果
CASHMERE 羊绒
CASINO 赌场
CASSAVA 木薯
CASTLE 城堡
CELERY 芹菜
CELLO 大提琴
CERAMIC 陶瓷
CHAD 乍得
CHALET 木屋
CHAMPAGNE 香槟
CHAMPION 冠军
CHANDELIER 吊灯
CHATEAU 城堡
CHEDDAR 切达
CHEESE 芝士
CHEETAH 猎豹
CHEF 厨师
CHERRY 樱桃
CHESS 国际象棋
CHESTNUT 栗子
CHICAGO 芝加哥
CHIFFON 雪纺
CHILE 智利
CHIMPANZEE 黑猩猩
CHINA 中国
CHIVE 香葱
CHLOROPHYLL 叶绿素
CHOCOLATE 巧克力
CHOLESTEROL 胆固醇
CHROME 铬
CHURRO 吉事果
CHUTNEY 酸辣酱
CIABATTA 恰巴塔
CINEMA 影院
CINNAMON 肉桂
CIRCUS 马戏团
CLARINET 单簧管
