cell	rooms	map_rows_pipe_separated
CN_+2_L#1	9	0,0,1,2,2,1,3,3|1,1,1,1,1,1,1,1|4,4,1,5,5,1,6,6|5,5,5,5,5,5,5,5|7,5,5,5,5,5,5,8|7,5,5,5,5,5,5,8|7,5,5,5,5,5,5,8|7,5,5,5,5,5,5,8
CN_+2_L#2	6	0,1,2,3,3,3,3,3|0,1,2,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,4|1,1,1,3,3,3,3,3|1,1,1,3,3,5,3,3
CN_+2_R#1	7	0,0,1,2,2,1,3,3|1,1,1,1,1,1,1,1|4,4,1,5,6,1,6,6|4,4,4,5,6,6,6,6|4,4,4,5,6,6,6,6|4,4,4,6,6,6,6,6|4,4,4,6,6,6,6,6|4,4,4,6,6,6,6,6
CN_+2_R#2	5	0,0,1,0,0,2,0,0|0,0,1,0,0,2,0,0|0,0,0,0,0,0,0,0|3,3,3,3,3,3,3,3|3,4,4,4,4,4,4,3|3,4,4,4,4,4,4,3|3,4,4,4,4,4,4,3|3,4,4,4,4,4,3,3
CN_+2_R#3	6	0,0,1,0,0,2,0,0|0,0,1,0,0,2,0,0|0,0,0,0,0,0,0,0|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,4|3,3,3,3,3,3,3,4|3,3,3,3,3,3,3,4|5,5,3,3,3,3,3,4
CN_+6_L#1	5	0,1,1,2,2,2,2,2|0,1,1,2,2,2,2,2|0,3,1,2,2,2,2,2|0,3,1,2,4,4,4,2|3,3,3,2,4,4,4,2|3,3,3,2,4,4,4,2|3,3,3,4,4,4,4,4|3,3,3,4,4,4,4,4
CN_+6_L#2	7	0,0,0,0,1,1,2,2|3,3,3,0,1,1,1,1|3,3,3,0,1,1,1,1|3,3,3,0,1,4,4,1|5,5,5,5,4,4,4,4|6,6,6,5,4,4,4,4|6,6,6,5,4,4,4,4|6,6,5,5,4,4,4,4
CN_+6_R#1	10	0,1,2,3,3,3,3,3|0,1,2,4,5,5,6,6|1,1,1,4,4,5,6,6|1,1,1,7,7,7,7,7|1,1,1,7,7,7,7,7|1,1,1,7,7,7,7,7|1,1,1,8,8,7,9,9|1,1,1,8,7,7,9,9
CN_+6_R#2	9	0,1,2,3,3,4,4,4|0,1,2,3,3,4,4,4|1,1,1,5,5,4,6,6|1,1,1,5,5,6,6,6|1,1,1,5,5,6,6,6|1,1,1,5,5,7,6,8|1,1,1,5,5,7,6,8|1,1,1,5,5,6,6,8
CN_+7_L#1	11	0,0,0,1,1,2,3,3|0,0,0,4,4,4,4,4|5,5,6,7,4,4,4,4|5,5,6,4,4,4,4,4|6,6,6,8,8,9,10,10|6,6,6,8,8,9,10,10|6,6,6,8,8,9,10,10|6,6,6,8,8,9,10,10
CN_+7_L#2	9	0,0,0,1,1,2,3,3|4,4,0,1,1,2,3,3|0,0,0,5,5,5,5,5|0,0,0,5,5,5,5,5|6,6,0,5,5,5,5,5|6,6,0,5,5,5,5,5|6,6,0,7,7,5,8,8|0,0,0,7,7,5,8,8
CN_+7_R#1	6	0,0,0,0,1,1,2,2|0,0,0,0,1,1,2,2|3,3,3,3,1,1,2,2|3,3,3,3,1,1,2,2|1,1,1,1,1,1,1,1|4,4,1,1,1,1,1,1|4,4,1,1,1,1,1,1|1,1,1,1,5,5,1,1
CN_+7_R#2	5	0,1,1,2,2,2,2,2|0,1,1,2,2,2,2,2|1,1,1,2,2,2,2,2|1,1,1,2,3,3,3,2|1,1,1,2,3,3,3,2|1,4,4,2,3,3,3,2|1,4,4,3,3,3,3,3|1,4,4,3,3,3,3,3
CN_-6_L#1	7	0,1,2,3,4,4,5,5|0,1,2,3,3,3,5,5|1,1,1,3,3,3,5,5|1,1,1,3,3,3,5,5|1,1,1,3,3,3,5,5|1,1,1,3,3,3,5,5|1,1,1,3,3,3,5,5|1,1,1,3,6,3,5,5
CN_-6_L#2	7	0,1,2,3,3,3,4,4|0,1,2,3,3,3,4,4|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,5,3,3,3,6|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3
CN_-6_R#1	10	0,1,2,3,3,4,5,5|0,1,2,4,4,4,4,4|1,1,1,4,4,4,4,4|6,1,7,4,4,4,4,4|6,1,7,4,4,4,4,4|6,1,7,8,8,8,8,8|6,1,7,9,9,9,8,8|6,1,7,9,9,8,8,8
CN_-6_R#2	4	0,0,0,1,2,3,3,3|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2
CN_-6_R#3	7	0,0,0,1,1,2,3,3|0,0,0,4,4,4,4,4|0,0,0,4,5,5,5,4|0,6,0,5,5,5,5,5|0,6,6,5,5,5,5,5|0,6,6,5,5,5,5,5|0,6,6,5,5,5,5,5|0,6,6,5,5,5,5,5
JP_+1_L#1	11	0,0,0,1,2,3,2,4|0,0,0,2,2,2,2,2|5,5,6,7,2,2,2,8|5,5,6,2,2,2,2,2|6,6,6,2,9,2,10,2|6,6,6,2,9,2,10,2|6,6,6,2,9,2,10,2|6,6,6,2,9,2,2,2
JP_+1_L#2	3	0,0,1,1,1,1,1,2|0,0,1,1,1,1,1,2|0,0,1,1,1,1,1,2|0,0,1,1,1,1,1,2|0,0,1,1,1,1,1,2|0,0,1,1,1,1,1,2|0,1,1,1,1,1,1,2|1,1,1,1,1,1,1,2
JP_+1_R#1	8	0,0,0,1,2,2,3,3|0,0,0,2,2,2,2,2|4,4,5,2,2,2,2,2|4,4,5,6,2,2,7,7|5,5,5,6,2,2,7,7|5,5,5,2,2,2,7,2|5,5,5,2,2,2,7,2|5,5,5,2,2,2,2,2
JP_+1_R#2	4	0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|1,1,1,0,0,2,2,2|1,1,1,0,0,0,0,0|1,1,1,0,0,0,0,0|1,1,1,0,0,3,3,3|1,1,1,0,0,3,3,3|1,1,1,0,0,3,3,3
JP_+1_R#3	6	0,0,1,1,1,2,2,2|0,0,1,1,1,2,2,2|0,0,1,3,1,2,2,2|0,0,1,3,1,2,2,2|0,0,1,1,1,4,4,4|0,0,1,5,1,4,4,4|0,0,1,5,1,4,4,4|0,0,1,1,1,4,4,4
JP_+1_R#4	6	0,0,1,2,2,2,2,3|0,0,1,2,2,2,2,3|0,0,1,2,2,2,2,3|4,4,2,2,2,2,2,2|4,4,2,5,5,5,5,2|4,4,2,5,5,5,5,2|4,4,2,5,5,5,2,2|4,4,4,4,4,4,4,4
JP_+5_L#1	8	0,1,2,3,3,4,5,5|0,1,2,4,4,4,4,4|1,1,1,4,4,4,4,4|1,1,1,4,4,4,4,4|1,1,1,4,4,4,4,4|1,1,1,4,4,4,4,4|1,1,1,4,6,4,7,4|1,1,1,4,6,4,4,4
JP_+5_L#2	4	0,0,0,1,2,3,3,3|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2
JP_+5_L#3	11	0,1,1,2,2,3,4,4|0,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,5,5,3,3,3|6,7,8,9,5,3,3,10|6,7,8,5,5,3,3,3|6,7,8,5,3,3,3,3
JP_+5_R#1	8	0,0,1,2,2,2,2,2|1,1,1,1,1,1,1,1|1,1,3,3,3,3,3,3|4,4,4,4,4,4,4,4|5,5,5,6,7,7,4,4|6,6,6,6,6,6,4,4|6,6,6,6,6,6,4,4|6,6,6,6,6,6,4,4
JP_+5_R#2	9	0,1,1,2,3,4,4,4|0,1,1,3,3,3,3,4|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|1,1,1,3,3,3,3,3|5,6,7,3,8,8,8,8|5,6,7,3,8,8,8,3|5,6,7,3,3,3,3,3
JP_+7_L#1	8	0,0,0,0,1,1,2,2|0,0,0,0,1,1,2,2|0,0,0,0,1,1,2,2|0,0,0,0,1,1,2,2|0,0,0,0,1,1,2,2|0,0,3,3,3,2,2,2|4,4,5,5,6,6,7,7|4,4,5,5,6,6,7,7
JP_+7_L#2	4	0,1,1,1,1,1,1,2|0,1,3,3,3,3,1,2|0,1,3,3,3,3,1,2|0,1,3,3,3,3,1,2|0,1,3,3,3,3,1,2|0,1,3,3,3,3,1,2|1,1,3,3,3,3,1,1|1,1,3,3,3,3,1,1
JP_+7_R#1	10	0,0,0,1,1,2,3,3|0,0,0,4,4,4,4,4|0,5,5,4,4,4,4,4|5,5,5,4,4,4,4,4|5,5,5,6,4,4,7,7|8,5,9,6,4,4,7,7|8,5,5,4,4,4,7,4|5,5,5,4,4,4,4,4
JP_+7_R#2	9	0,0,0,1,1,2,3,3|4,4,0,1,1,2,3,3|0,0,0,5,5,5,5,5|0,0,0,5,5,5,5,5|6,6,0,5,5,5,5,5|6,6,0,5,5,5,5,5|6,6,0,7,7,5,8,8|0,0,0,7,7,5,8,8
KR_+4_L#1	12	0,0,1,2,2,1,3,3|1,1,1,1,1,1,1,1|4,4,1,5,5,1,6,6|4,4,4,7,7,7,7,7|8,8,9,7,7,7,7,7|9,9,9,7,7,7,7,7|9,9,9,10,10,10,10,10|9,9,9,11,11,11,10,10
KR_+4_L#2	3	0,0,0,1,2,2,2,2|0,0,0,1,2,2,2,2|0,0,0,1,2,2,2,2|0,0,0,1,2,2,2,2|0,0,0,1,2,2,2,2|0,0,0,1,2,2,2,2|0,0,0,2,2,2,2,2|0,0,0,2,2,2,2,2
KR_+4_R#1	6	0,0,0,1,1,2,2,2|0,0,0,1,1,2,2,2|1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1|1,1,3,3,3,3,1,1|1,4,3,3,3,3,3,1|4,4,3,3,3,3,3,5|4,4,3,3,3,3,3,5
KR_+4_R#2	5	0,0,0,1,1,1,1,1|0,0,0,1,2,2,2,1|3,0,4,1,2,2,2,1|3,0,4,1,2,2,2,1|3,0,0,1,2,2,2,1|0,0,0,1,2,2,2,1|0,0,0,1,2,2,2,1|0,0,0,1,1,1,1,1
KR_+4_R#3	9	0,0,1,2,2,1,3,3|1,1,1,1,1,1,1,1|4,4,1,5,5,1,6,6|4,5,5,5,5,5,5,6|4,5,5,5,5,5,5,6|5,5,5,5,5,5,5,5|7,7,7,5,5,8,8,8|7,7,7,5,5,8,8,8
KR_+8_L#1	5	0,0,0,0,1,2,2,2|0,0,0,0,1,2,1,1|0,0,0,0,1,2,1,1|3,3,3,3,1,1,1,1|3,3,3,3,1,1,1,1|3,3,3,3,1,4,1,1|3,3,3,3,1,4,4,1|3,3,3,1,1,4,4,4
KR_+8_L#2	12	0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,1,1,0,0,2,2,0|0,3,3,0,0,4,4,0|5,5,5,5,6,6,6,6|7,5,5,8,6,6,6,6|9,9,9,9,10,10,10,10|9,9,9,11,10,10,10,10
KR_+8_R#1	3	0,0,0,1,1,2,2,2|0,0,0,1,1,2,2,2|1,1,0,1,1,2,1,1|1,1,0,1,1,2,1,1|1,1,0,1,1,2,1,1|1,1,0,1,1,2,1,1|1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1
KR_+8_R#2	8	0,1,2,3,4,3,5,5|0,1,2,3,4,3,5,5|1,1,1,3,3,3,3,3|1,1,1,3,3,3,6,3|1,1,1,3,7,3,6,3|1,1,1,3,7,3,3,3|1,1,1,3,7,3,3,3|1,1,1,3,3,3,3,3
KR_-3_L#1	13	0,1,2,2,2,3,4,4|1,1,1,1,3,3,3,3|1,5,5,5,3,6,6,6|7,8,9,8,10,8,11,11|8,8,8,8,8,8,8,8|8,8,8,8,8,8,12,12|8,8,8,8,8,8,12,12|8,8,8,8,8,8,8,8
KR_-3_L#2	5	0,0,0,0,0,0,0,0|0,1,1,1,1,1,1,0|1,1,1,1,1,1,1,1|1,1,2,1,1,1,1,1|1,1,2,1,1,1,1,1|1,1,1,1,1,1,1,1|3,1,1,1,1,1,1,4|3,3,1,1,1,1,4,4
KR_-3_L#3	8	0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,1,1,0,0,2,2,0|0,3,3,0,0,4,4,0|5,6,6,6,6,6,6,7|5,6,6,6,6,6,6,7|5,6,6,6,6,6,6,7|5,6,6,6,6,6,6,7
KR_-3_R#1	11	0,0,0,1,2,2,2,3|0,0,0,1,2,2,2,3|4,0,5,2,2,6,2,2|0,0,0,2,2,6,2,2|7,0,0,8,8,8,8,8|7,0,0,8,8,8,8,8|0,0,0,9,8,8,8,10|0,0,0,9,8,8,8,10
KR_-3_R#2	12	0,0,0,1,1,2,3,3|0,0,0,4,4,2,2,2|5,0,6,7,8,2,2,2|0,0,0,9,9,2,2,2|10,0,0,11,11,2,2,2|10,0,0,11,11,2,2,2|0,0,0,11,11,2,2,2|0,0,0,11,11,2,2,2
