word	cells	by_mean(top6)	by_min(top6)
CN_+2_L	2	苦楝:0.962 苦根:0.960 苦谏:0.959 苦难:0.925 苦活:0.924 含括:0.914	苦楝:0.924 苦根:0.920 苦谏:0.917 含括:0.904 芒種:0.903 盲肠:0.895
CN_+2_R	3	花岗岩:0.879 扩音器:0.841 花崗岩:0.837 硅質岩:0.837 錄音帶:0.828 消音器:0.827	扩音器:0.821 離合器:0.816 花岗岩:0.816 消音器:0.813 繼電器:0.793 帕台農:0.789
CN_+6_L	2	請款:0.896 誘騙:0.877 詭譎:0.876 證驗:0.874 請纓:0.874 詭計:0.873	請款:0.893 詭譎:0.864 誘騙:0.861 詭計:0.858 語鋒:0.858 燈謎:0.857
CN_+6_R	2	抗辩:0.901 狡辩:0.896 猙獰:0.896 好辩:0.895 崢嶸:0.893 婉妙:0.889	餘姚:0.882 婉妙:0.881 肸肸:0.877 絆腳:0.876 樟树:0.875 榕树:0.874
CN_+7_L	2	流弹:0.895 流彈:0.888 特种:0.884 混种:0.882 挂钟:0.881 體諒:0.880	流弹:0.884 持續:0.879 待續:0.877 特种:0.874 統讀:0.872 流彈:0.871
CN_+7_R	2	头位:0.842 決絕:0.831 头顶:0.826 头梳:0.821 头纱:0.819 头领:0.817	头位:0.835 头顶:0.816 买帐:0.812 头梳:0.807 买价:0.804 头纱:0.803
CN_-6_L	2	树枝:0.885 附肢:0.883 嫦娥:0.883 姮娥:0.882 樹枝:0.880 树梢:0.872	蝦油:0.858 树枝:0.858 附肢:0.858 树梢:0.858 树栖:0.857 树根:0.854
CN_-6_R	3	博物馆:0.933 博物院:0.904 博物館:0.897 结肠镜:0.884 检眼镜:0.877 檢眼鏡:0.875	博物馆:0.914 结肠镜:0.852 檢眼鏡:0.843 检眼镜:0.842 認識論:0.841 植物油:0.836
JP_+1_L	2	蹣跚:0.817 鳩目:0.817 禍源:0.812 柾目:0.812 地目:0.812 流目:0.811	鳩目:0.801 神月:0.797 花甁:0.792 花月:0.792 地目:0.792 柾目:0.792
JP_+1_R	4	地下経済:0.843 地下商街:0.826 地下施設:0.819 地下鉄道:0.814 耳下腺炎:0.812 地下鐵驛:0.809	地下経済:0.764 地平座標:0.759 精子提供:0.757 道不拾遺:0.756 就寢喇叭:0.747 統語指標:0.741
JP_+5_L	3	抛物線:0.899 姉妹編:0.896 捕物帳:0.892 補助線:0.891 植物誌:0.891 絶縁線:0.889	姉妹編:0.866 植物誌:0.853 棒姉妹:0.840 限時法:0.837 物理行:0.837 號牌法:0.836
JP_+5_R	2	氣絶:0.954 気絶:0.920 奇絶:0.898 氣泡:0.892 禁絶:0.887 氣怯:0.886	氣絶:0.943 気絶:0.875 芯線:0.842 氣泡:0.840 気泡:0.840 藁紙:0.838
JP_+7_L	2	烈風:0.929 烈風:0.928 悲風:0.896 麟鳳:0.886 熱風:0.868 沙風:0.867	烈風:0.895 烈風:0.895 悲風:0.895 麟鳳:0.857 熱風:0.841 沙風:0.839
JP_+7_R	2	狂躁:0.877 耽讀:0.873 銃弾:0.863 眩瞑:0.861 鼓譟:0.855 銃彈:0.853	耽讀:0.869 狂躁:0.841 辣腕:0.837 眩瞑:0.835 銃弾:0.834 銃彈:0.834
KR_+4_L	2	茶所:0.895 誤脱:0.895 誤報:0.895 茶飯:0.894 花顔:0.893 浮腫:0.892	花顔:0.891 花鈿:0.888 茶所:0.883 茶飯:0.882 誇張:0.881 花闘:0.881
KR_+4_R	3	合格率:0.817 釜炒茶:0.812 琉球芋:0.809 合体字:0.809 卷煙草:0.806 合格率:0.806	釜炒茶:0.782 青銅器:0.773 交附率:0.771 茶碗蒸:0.770 壱拾萬:0.766 靑銅器:0.764
KR_+8_L	2	疑雲:0.877 競落:0.861 競歩:0.861 露霜:0.860 霧雲:0.858 初霜:0.856	疑雲:0.876 節電:0.849 魏志:0.843 霧雲:0.840 霧雪:0.840 飾窓:0.837
KR_+8_R	2	山地:0.920 山嶽:0.917 山姫:0.911 山峽:0.904 山貘:0.904 山莊:0.897	山地:0.840 山嶽:0.833 山姫:0.822 山峽:0.809 山貘:0.807 出職:0.801
KR_-3_L	3	高麗鼠:0.805 装飾音:0.800 食事量:0.796 分布巖:0.794 掠奪當:0.794 若者語:0.793	若者語:0.781 還幸祭:0.775 分布巖:0.772 一番星:0.769 妾奉公:0.766 立食会:0.761
KR_-3_R	2	玲瓏:0.928 朦朧:0.908 玲玲:0.874 脂腺:0.874 橋脚:0.872 降職:0.872	玲瓏:0.921 朦朧:0.868 橋脚:0.858 脂腺:0.857 降職:0.857 移職:0.857
