# Day 1 (第一日 代号：世界之窗) — SOLVED
# Hint (unlocked by the user): 「世界之窗」and the colours both point to Microsoft/Windows.
# The feeders you need are all Microsoft products/software, each with a development codename.
# Fill the codenames into the statement grid BY LENGTH, then read the letters in the order of
# the Windows logo colours, from the lightest shade to the darkest.
#
# The 10x5 SVG has 5 rows of contiguous non-empty cells; their lengths are the slot lengths.
# Row 4 has a hole at x=3, so it is a TWO-word slot (3 + 6).

row slot_len feeder_thought (Microsoft product)          codename
0   6        COMMUNICATION FOUNDATION (Windows Communication Foundation)  INDIGO
1   7        UI LIBRARY (Windows UI Library / WinRT XAML)                 JUPITER
2   8        TERMINAL (Windows Terminal)                                  CASCADIA
3   10       ME (Windows Me)                                              MILLENNIUM
4   3+6      ELEVEN (Windows 11)                                          SUN VALLEY

# Filled grid (x = 0..9)
#  I N D I G O . . . .
#  J U P I T E R . . .
#  C A S C A D I A . .
#  M I L L E N N I U M
#  S U N . V A L L E Y

# The 13 coloured cells are 4 hues x 4 shades (#..bf lightest, #..80, #..40, #..00 darkest);
# only pure green/blue/yellow (shade 00) are absent, so the shades group the cells 4/4/4/1.
# Read shade by shade from light to dark, and inside each shade in Windows-logo order R G B Y.

shade  hue  cell(x,y)  grid_letter
bf     R    (0,1)      J
bf     G    (1,1)      U
bf     B    (0,4)      S
bf     Y    (4,1)      T
80     R    (3,0)      I
80     G    (0,2)      C
80     B    (5,1)      E
80     Y    (2,3)      L
40     R    (4,3)      E
40     G    (4,2)      A
40     B    (4,0)      G
40     Y    (8,3)      U
00     R    (8,4)      E

field   value
reading JUST | ICEL | EAGU | E
answer  JUSTICE LEAGUE
